year,candidate,party,popular vote,% of votes,result
1788,George Washington,Independent,43782,100.0%,win
1788,John Adams,Federalist,, ,loss
1788,John Jay,Federalist,, ,loss
1788,Robert H. Harrison,Federalist,, ,loss
1788,John Rutledge,Federalist,, ,loss
1788,John Hancock,Federalist,, ,loss
1788,George Clinton,Anti-Administration,, ,loss
1788,Samuel Huntington,Federalist,, ,loss
1788,John Milton,Federalist,, ,loss
1788,James Armstrong,Federalist,, ,loss
1788,Benjamin Lincoln,Federalist,, ,loss
1788,Edward Telfair,Anti-Administration,, ,loss
1792,George Washington,Independent,28579,100.0%,win
1792,John Adams,Federalist,, ,loss
1792,George Clinton,Democratic-Republican,, ,loss
1792,Thomas Jefferson,Democratic-Republican,, ,loss
1792,Aaron Burr,Democratic-Republican,, ,loss
1796,John Adams,Federalist,35726,53.4%,win
1796,Thomas Jefferson,Democratic-Republican,31115,46.6%,loss
1796,Thomas Pinckney,Federalist,, ,loss
1796,Aaron Burr,Democratic-Republican,, ,loss
1796,Samuel Adams,Democratic-Republican,, ,loss
1796,Oliver Ellsworth,Federalist,, ,loss
1796,George Clinton,Democratic-Republican,, ,loss
1796,John Jay,Federalist,, ,loss
1796,James Iredell,Federalist,, ,loss
1796,George Washington,Independent,, ,loss
1796,John Henry,Democratic-Republican,, ,loss
1796,Samuel Johnston,Federalist,, ,loss
1796,Charles Cotesworth Pinckney,Federalist,, ,loss
1800,Thomas Jefferson,Democratic-Republican,41330,61.4%,win
1800,John Adams,Federalist,25952,38.6%,loss
1800,John Jay,Federalist,, ,loss
1804,Thomas Jefferson,Democratic-Republican,104110,72.8%,win
1804,Charles Cotesworth Pinckney,Federalist,38919,27.2%,loss
1808,James Madison,Democratic-Republican,124732,64.7%,win
1808,John Langdon,Democratic-Republican,, ,loss
1808,Charles Cotesworth Pinckney,Federalist,62431,32.4%,loss
1808,George Clinton,Democratic-Republican,, ,loss
1808,James Monroe,Democratic-Republican,, ,loss
1812,James Madison,Democratic-Republican,140431,50.4%,win
1812,DeWitt Clinton,Democratic-Republican/Federalist,132781,47.6%,loss
